"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","1995",95.74824,
"AUS","HHDEBT","TOT","PC_NDI","A","1996",99.437,
"AUS","HHDEBT","TOT","PC_NDI","A","1997",108.561,
"AUS","HHDEBT","TOT","PC_NDI","A","1998",116.2524,
"AUS","HHDEBT","TOT","PC_NDI","A","1999",122.4634,
"AUS","HHDEBT","TOT","PC_NDI","A","2000",126.5365,
"AUS","HHDEBT","TOT","PC_NDI","A","2001",131.7542,
"AUS","HHDEBT","TOT","PC_NDI","A","2002",150.4648,
"AUS","HHDEBT","TOT","PC_NDI","A","2003",162.0615,
"AUS","HHDEBT","TOT","PC_NDI","A","2004",172.6775,
"AUS","HHDEBT","TOT","PC_NDI","A","2005",183.1097,
"AUS","HHDEBT","TOT","PC_NDI","A","2006",188.3798,
"AUS","HHDEBT","TOT","PC_NDI","A","2007",192.2755,
"AUS","HHDEBT","TOT","PC_NDI","A","2008",186.0279,
"AUS","HHDEBT","TOT","PC_NDI","A","2009",191.6128,
"AUS","HHDEBT","TOT","PC_NDI","A","2010",189.4769,
"AUS","HHDEBT","TOT","PC_NDI","A","2011",188.4553,
"AUS","HHDEBT","TOT","PC_NDI","A","2012",190.0044,
"AUS","HHDEBT","TOT","PC_NDI","A","2013",190.2531,
"AUS","HHDEBT","TOT","PC_NDI","A","2014",193.9466,
"AUS","HHDEBT","TOT","PC_NDI","A","2015",202.4026,
"AUS","HHDEBT","TOT","PC_NDI","A","2016",208.8023,
"AUS","HHDEBT","TOT","PC_NDI","A","2017",214.0322,
"AUS","HHDEBT","TOT","PC_NDI","A","2018",215.0934,
"AUS","HHDEBT","TOT","PC_NDI","A","2019",209.2388,
"AUS","HHDEBT","TOT","PC_NDI","A","2020",203.0669,
"AUT","HHDEBT","TOT","PC_NDI","A","1995",65.85123,
"AUT","HHDEBT","TOT","PC_NDI","A","1996",68.45939,
"AUT","HHDEBT","TOT","PC_NDI","A","1997",70.871,
"AUT","HHDEBT","TOT","PC_NDI","A","1998",70.46921,
"AUT","HHDEBT","TOT","PC_NDI","A","1999",73.53783,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.41841,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.01186,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",78.94254,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.08277,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",81.19659,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.18607,
"AUT","HHDEBT","TOT","PC_NDI","A","2006",88.55872,
"AUT","HHDEBT","TOT","PC_NDI","A","2007",88.36625,
"AUT","HHDEBT","TOT","PC_NDI","A","2008",89.79839,
"AUT","HHDEBT","TOT","PC_NDI","A","2009",90.11239,
"AUT","HHDEBT","TOT","PC_NDI","A","2010",93.71614,
"AUT","HHDEBT","TOT","PC_NDI","A","2011",93.2784,
"AUT","HHDEBT","TOT","PC_NDI","A","2012",91.04684,
"AUT","HHDEBT","TOT","PC_NDI","A","2013",90.82967,
"AUT","HHDEBT","TOT","PC_NDI","A","2014",90.48386,
"AUT","HHDEBT","TOT","PC_NDI","A","2015",92.05358,
"AUT","HHDEBT","TOT","PC_NDI","A","2016",92.00205,
"AUT","HHDEBT","TOT","PC_NDI","A","2017",90.64924,
"AUT","HHDEBT","TOT","PC_NDI","A","2018",90.38944,
"AUT","HHDEBT","TOT","PC_NDI","A","2019",90.02576,
"AUT","HHDEBT","TOT","PC_NDI","A","2020",93.24696,
"BEL","HHDEBT","TOT","PC_NDI","A","1995",65.33064,
"BEL","HHDEBT","TOT","PC_NDI","A","1996",68.8186,
"BEL","HHDEBT","TOT","PC_NDI","A","1997",72.00168,
"BEL","HHDEBT","TOT","PC_NDI","A","1998",71.4463,
"BEL","HHDEBT","TOT","PC_NDI","A","1999",73.29503,
"BEL","HHDEBT","TOT","PC_NDI","A","2000",71.44759,
"BEL","HHDEBT","TOT","PC_NDI","A","2001",67.32562,
"BEL","HHDEBT","TOT","PC_NDI","A","2002",68.94238,
"BEL","HHDEBT","TOT","PC_NDI","A","2003",70.97472,
"BEL","HHDEBT","TOT","PC_NDI","A","2004",75.30494,
"BEL","HHDEBT","TOT","PC_NDI","A","2005",80.52156,
"BEL","HHDEBT","TOT","PC_NDI","A","2006",84.0188,
"BEL","HHDEBT","TOT","PC_NDI","A","2007",87.73826,
"BEL","HHDEBT","TOT","PC_NDI","A","2008",90.05164,
"BEL","HHDEBT","TOT","PC_NDI","A","2009",92.83128,
"BEL","HHDEBT","TOT","PC_NDI","A","2010",97.41816,
"BEL","HHDEBT","TOT","PC_NDI","A","2011",102.6445,
"BEL","HHDEBT","TOT","PC_NDI","A","2012",103.0475,
"BEL","HHDEBT","TOT","PC_NDI","A","2013",104.77,
"BEL","HHDEBT","TOT","PC_NDI","A","2014",109.2427,
"BEL","HHDEBT","TOT","PC_NDI","A","2015",111.6728,
"BEL","HHDEBT","TOT","PC_NDI","A","2016",112.7949,
"BEL","HHDEBT","TOT","PC_NDI","A","2017",113.1588,
