"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1979",11.70244,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1980",11.33123,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1981",10.1551,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1982",13.26102,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1983",19.3786,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1984",17.49021,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1985",15.53721,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1986",15.24372,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1987",15.017,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1988",13.34567,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1989",10.63731,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1990",13.21479,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1991",18.54115,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1992",20.74855,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1993",19.68469,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1994",17.39901,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1995",15.51896,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1996",16.38401,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1997",16.90263,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1998",15.29846,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","1999",13.72753,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2000",12.87749,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2001",14.58873,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2002",13.77162,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2003",12.59431,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2004",11.83728,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2005",10.87232,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2006",10.53924,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2007",9.465696,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2008",9.00114,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2009",12.47598,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2010",11.92974,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2011",11.92408,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2012",12.44364,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2013",13.02819,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2014",14.11074,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2015",14.22524,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2016",13.80561,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",13.63616,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",12.81712,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",12.81681,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",15.27152,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",12.62278,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1979",14.49418,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1980",13.92324,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1981",12.90884,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1982",14.50793,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1983",16.99351,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1984",15.87481,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1985",14.66066,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1986",14.77554,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1987",14.78899,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1988",13.42671,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1989",11.69417,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1990",12.76799,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1991",16.26693,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1992",17.61256,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1993",17.20275,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1994",16.25196,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1995",14.81884,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1996",14.79708,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1997",14.63942,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1998",13.5224,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","1999",12.42565,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2000",11.21841,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2001",12.2781,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2002",11.71823,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2003",11.26651,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2004",10.8527,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2005",10.32914,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2006",9.461642,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2007",9.240728,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2008",8.588713,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2009",10.34173,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2010",11.11975,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2011",10.76326,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2012",10.9341,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2013",11.34686,
